date,date_number,country,state,fips,total_confirmed,total_deaths,total_recovered,total_hospitalized,total_tested,active,tests_rate,hospitalize_rate,mortality_rate,incident_rate
2020-04-14,2,US,Guam,66.0,133,5,66.0,13.0,946.0,128.0,576.0249408,9.77443609,3.759398496,80.98447899
2020-04-14,2,US,Hawaii,15.0,511,9,315.0,44.0,19420.0,502.0,1371.676228,8.610567515,1.7612524459999999,36.09302536
2020-04-14,2,US,Idaho,16.0,1464,33,,135.0,15114.0,1431.0,938.468063,9.221311475,2.254098361,90.90361547
2020-04-14,2,US,Illinois,17.0,23248,868,,4283.0,110616.0,22380.0,942.5636562000001,18.42309016,3.7336545080000003,198.0972
2020-04-14,2,US,Indiana,18.0,8527,387,,,46017.0,8140.0,703.19441,,4.538524686000001,130.3026867
2020-04-14,2,US,Iowa,19.0,1899,49,741.0,163.0,18885.0,1850.0,720.6054230000001,8.583464982,2.580305424,72.46119663
2020-04-14,2,US,Kansas,20.0,1441,69,,327.0,14147.0,1372.0,580.1545876,22.6925746,4.78834143,59.09399595
2020-04-14,2,US,Kentucky,21.0,2048,106,629.0,673.0,26683.0,1942.0,779.4518919,32.86132813,5.17578125,59.82526233
2020-04-14,2,US,Louisiana,22.0,21518,1013,,1977.0,118422.0,20505.0,2575.922298,9.187656845,4.7076865880000005,468.06079960000005
2020-04-14,2,US,Maine,23.0,735,20,292.0,124.0,12342.0,715.0,1051.27231,16.870748300000002,2.721088435,62.60615363
2020-04-14,2,US,Maryland,24.0,9472,302,607.0,2122.0,53733.0,9170.0,904.0883612,22.4028716,3.18834459,159.371801
2020-04-14,2,US,Massachusetts,25.0,28164,844,,2340.0,126551.0,27320.0,1843.752968,8.308478909,2.996733419,410.3283151
2020-04-14,2,US,Michigan,26.0,27001,1768,452.0,3910.0,86226.0,25233.0,1082.254261,14.48094515,6.547905632999999,338.89948849999996
2020-04-14,2,US,Minnesota,27.0,1695,79,909.0,405.0,39241.0,1616.0,793.3170604,23.89380531,4.660766962,34.26702728
2020-04-14,2,US,Mississippi,28.0,3087,111,,596.0,37878.0,2976.0,1308.300687,19.30677033,3.5957240039999996,106.62453729999999
2020-04-14,2,US,Missouri,29.0,4746,149,,1041.0,47978.0,4597.0,818.8132141,21.93426043,3.1394858830000003,80.99728029
2020-04-14,2,US,Montana,30.0,399,7,197.0,50.0,9234.0,392.0,1066.297762,12.53132832,1.754385965,46.07459465
2020-04-14,2,US,Nebraska,31.0,897,20,,,11357.0,877.0,744.5885062000001,,2.229654404,58.80918289
2020-04-14,2,US,Nevada,32.0,3134,126,,,26661.0,3008.0,883.7811686000001,,4.020421187,103.8884581
2020-04-14,2,US,New Hampshire,33.0,922,25,249.0,152.0,11610.0,897.0,874.1495677000001,16.48590022,2.7114967460000003,69.41997428
2020-04-14,2,US,New Jersey,34.0,68824,2805,,8185.0,139774.0,66019.0,1573.643437,11.89265373,4.075613158,774.8539493
2020-04-14,2,US,New Mexico,35.0,1345,31,304.0,181.0,31970.0,1314.0,1917.203438,13.45724907,2.3048327140000002,80.65807393
2020-04-14,2,US,New York,36.0,203020,10842,23887.0,46201.0,499143.0,192178.0,2960.336041,22.75687124,5.340360556,1204.0786369999998
2020-04-14,2,US,North Carolina,37.0,5113,112,,418.0,65039.0,5001.0,655.7755568,8.175239585,2.190494817,51.55338215
2020-04-14,2,US,North Dakota,38.0,341,8,138.0,42.0,10916.0,333.0,1800.078494,12.31671554,2.346041056,56.23184008
2020-04-14,2,US,Northern Mariana Islands,69.0,11,2,,,40.0,9.0,72.53735674,,18.18181818,19.947773100000003
2020-04-14,2,US,Ohio,39.0,7285,324,,2156.0,67874.0,6961.0,607.4355684,29.59505834,4.447494852,65.19680755
2020-04-14,2,US,Oklahoma,40.0,2184,108,1060.0,488.0,28269.0,2076.0,772.8766737999999,22.34432234,4.945054945,59.71073104
2020-04-14,2,US,Oregon,41.0,1633,55,,381.0,32363.0,1578.0,807.6466769,23.3312921,3.368034293,40.75292845
2020-04-14,2,US,Pennsylvania,42.0,25465,691,,2317.0,133631.0,24774.0,1061.616936,9.098763007999999,2.713528372,202.3039211
2020-04-14,2,US,Puerto Rico,72.0,923,45,,,7207.0,878.0,245.68692799999997,,4.875406283999999,31.46510816
2020-04-14,2,US,Rhode Island,44.0,3251,80,135.0,331.0,22900.0,3171.0,2161.6804850000003,10.18148262,2.460781298,306.88311160000006
2020-04-14,2,US,South Carolina,45.0,3553,97,,675.0,33872.0,3456.0,672.0668257,18.99802983,2.73008725,70.49638143
2020-04-14,2,US,South Dakota,46.0,988,6,261.0,45.0,9296.0,982.0,1263.2288429999999,4.55465587,0.607287449,134.25883149999999
2020-04-14,2,US,Tennessee,47.0,5827,124,1969.0,633.0,78831.0,5703.0,1200.789833,10.86322293,2.1280247130000003,88.75952809
2020-04-14,2,US,Texas,48.0,15006,342,2580.0,1409.0,146467.0,14664.0,637.2407982999999,9.389577502,2.279088365,65.28730307
2020-04-14,2,US,Utah,49.0,2417,18,218.0,213.0,46476.0,2399.0,1621.699707,8.812577576,0.744724866,84.33703829999999
2020-04-14,2,US,Vermont,50.0,752,29,15.0,64.0,10585.0,723.0,1733.566332,8.510638298,3.8563829789999997,123.15936529999999
2020-04-14,2,US,Virgin Islands,78.0,51,1,44.0,,377.0,50.0,351.4561659,,1.960784314,47.54446806
2020-04-14,2,US,Virginia,51.0,6182,154,721.0,1282.0,42763.0,6028.0,540.8088547,20.73762536,2.491103203,78.18161354
2020-04-14,2,US,Washington,53.0,10799,530,,387.0,93929.0,10269.0,1244.1910970000001,3.5836651539999997,4.907861839,143.04442350000002
2020-04-14,2,US,West Virginia,54.0,640,9,147.0,164.0,17038.0,631.0,1287.832635,25.625,1.40625,48.37497865
2020-04-14,2,US,Wisconsin,55.0,3555,170,,1049.0,41552.0,3385.0,803.0037659,29.50773558,4.781997187,68.70134742
2020-04-14,2,US,Wyoming,56.0,282,1,140.0,43.0,5964.0,281.0,1199.420803,15.24822695,0.354609929,56.71305607
2020-04-14,2,US,Recovered,,0,0,47763.0,,,-47763.0,,,,
2020-04-15,3,US,Alabama,1.0,4075,118,,525.0,34077.0,3957.0,726.7594063166669,12.883435582822086,2.8957055214723932,86.90743260088672
2020-04-15,3,US,Alaska,2.0,293,9,106.0,34.0,8664.0,284.0,1449.4378075078337,11.604095563139932,3.0716723549488054,49.01722963986556
2020-04-15,3,US,American Samoa,60.0,0,0,,,3.0,,5.3917075537822825,,,0.0
2020-04-15,3,US,Arizona,4.0,3964,142,385.0,590.0,45310.0,3822.0,622.4998169320227,14.883955600403633,3.5822401614530777,54.46014730343274
2020-04-15,3,US,Arkansas,5.0,1569,33,489.0,130.0,21834.0,1536.0,843.3284009784372,8.2855321861058,2.103250478011472,60.601917245358976
2020-04-15,3,US,California,6.0,26686,860,,5163.0,216486.0,25826.0,552.13878988855,19.347223263134232,3.2264108521322044,68.06156401321954
2020-04-15,3,US,Colorado,8.0,7956,328,,1556.0,39580.0,7628.0,698.4525517252819,19.55756661639015,4.122674710910005,140.39637447009457
2020-04-15,3,US,Connecticut,9.0,14755,868,,1908.0,50143.0,13887.0,1406.4225404574722,12.931209759403592,5.882751609623856,413.85167589593766
2020-04-15,3,US,Delaware,10.0,2014,46,354.0,208.0,13102.0,1968.0,1345.5005524952658,10.327706057596822,2.284011916583913,206.82629466688027
2020-04-15,3,US,Diamond Princess,88888.0,49,0,0.0,,,49.0,,,0.0,
2020-04-15,3,US,District of Columbia,11.0,2197,72,530.0,313.0,11525.0,2125.0,1633.0168374308716,14.246700045516613,3.2771961766044617,311.3004765150216
2020-04-15,3,US,Florida,12.0,22511,596,,3344.0,213509.0,21915.0,1005.5713368391993,14.854959797432365,2.647594509350984,106.020900119373
2020-04-15,3,US,Georgia,13.0,14987,552,,2922.0,64090.0,14435.0,632.0891201278025,19.496897311002872,3.683192099819844,147.8096371252204
2020-04-15,3,US,Grand Princess,99999.0,103,0,0.0,,,103.0,,,0.0,
2020-04-15,3,US,Guam,66.0,135,5,73.0,9.0,978.0,130.0,595.5099282099994,6.666666666666668,3.703703703703704,82.20229070383428
2020-04-15,3,US,Hawaii,15.0,524,9,333.0,45.0,19803.0,515.0,1398.7283388873745,8.587786259541986,1.717557251908397,37.011243224611626
2020-04-15,3,US,Idaho,16.0,1473,39,,141.0,15398.0,1434.0,956.1023708830256,9.572301425661914,2.6476578411405294,91.46244916941791
2020-04-15,3,US,Illinois,17.0,24593,949,,4283.0,116929.0,23644.0,996.3569986263228,17.415524742812995,3.858821615906965,209.5580024392337
2020-04-15,3,US,Indiana,18.0,8960,436,,,48396.0,8524.0,739.5483553316217,,4.866071428571429,136.9194409408077
2020-04-15,3,US,Iowa,19.0,1995,53,908.0,171.0,19869.0,1942.0,758.1524569840344,8.571428571428571,2.656641604010025,76.12432189255367
2020-04-15,3,US,Kansas,20.0,1504,71,,342.0,14668.0,1433.0,601.5202863413722,22.739361702127663,4.720744680851063,61.67756412990345
2020-04-15,3,US,Kentucky,21.0,2210,115,653.0,687.0,27697.0,2095.0,809.0724075549257,31.08597285067873,5.203619909502263,64.55753405409921
2020-04-15,3,US,Louisiana,22.0,21951,1103,,1943.0,121928.0,20848.0,2652.1850160508443,8.851532959774044,5.024828026058039,477.4794410416974
2020-04-15,3,US,Maine,23.0,770,24,305.0,126.0,14846.0,746.0,1264.5591249107754,16.363636363636363,3.116883116883117,65.58739904225362
2020-04-15,3,US,Maryland,24.0,10032,311,607.0,2231.0,55763.0,9721.0,938.244268579846,22.238835725677827,3.100079744816587,168.79411979974208
